source,target,value
encruar,atesar,1.0
encruar,desbambar,1.0
encruar,encruecer,1.0
encruar,encruentar,1.0
encruar,endurar,1.0
encruar,endurecer,1.0
encruar,endurentar,1.0
encruar,enrijecer,1.0
encruar,entesar,1.0
encruar,erijar,1.0
encruar,esticar,1.0
encruar,inteiriçar,1.0
encruar,retesar,1.0
encruar,amolegar,1.0
encruar,amolentar,1.0
encruar,desenrijar,1.0
encruar,desentesar,1.0
encruar,embrandecer,1.0
encruar,molificar,1.0
encruar,empedernecer,1.0
encruar,empedernir,1.0
encruar,empedrenir,1.0
encruar,emperrar,1.0
encruar,encruecer,1.0
encruar,encruentar,1.0
encruar,endurar,1.0
encruar,endurecer,1.0
encruar,endurentar,1.0
encruar,insensibilizar,1.0
encruar,obdurar,1.0
encruar,amaciar,1.0
encruar,amolecer,1.0
encruar,brandear,1.0
encruar,comover,1.0
encruar,degelar,1.0
encruar,derreter,1.0
encruar,desempedernecer,1.0
encruar,desempedernir,1.0
encruar,embrandecer,1.0
encruar,enternecer,1.0
encruar,maciar,1.0
encruar,render,1.0
encruar,sensibilizar,1.0
