source,target,value
enfadar,adormentar,1.0
enfadar,amolar,1.0
enfadar,anojar,1.0
enfadar,cacetear,1.0
enfadar,cansar,1.0
enfadar,causticar,1.0
enfadar,chatear,1.0
enfadar,destroçar,1.0
enfadar,enchoiriçar,1.0
enfadar,enchouriçar,1.0
enfadar,enfarar,1.0
enfadar,enfastiar,1.0
enfadar,enfestar,1.0
enfadar,enfezar,1.0
enfadar,enjoar,1.0
enfadar,enojar,1.0
enfadar,entediar,1.0
enfadar,entojar,1.0
enfadar,estafar,1.0
enfadar,estopar,1.0
enfadar,estroçar,1.0
enfadar,fadigar,1.0
enfadar,fartar,1.0
enfadar,fatigar,1.0
enfadar,flagelar,1.0
enfadar,maçar,1.0
enfadar,madornar,1.0
enfadar,mantear,1.0
enfadar,massacrar,1.0
enfadar,modornar,1.0
enfadar,modorrar,1.0
enfadar,moer,1.0
enfadar,monotonizar,1.0
enfadar,narcotizar,1.0
enfadar,nausear,1.0
enfadar,desenfastiar,1.0
enfadar,desenfezar,1.0
enfadar,desenjoar,1.0
enfadar,desentediar,1.0
enfadar,desmodorrar,1.0
