source,target,value
enfarado,adormentar,1.0
enfarado,amolar,1.0
enfarado,anojar,1.0
enfarado,cacetear,1.0
enfarado,cansar,1.0
enfarado,causticar,1.0
enfarado,chatear,1.0
enfarado,destroçar,1.0
enfarado,enchoiriçar,1.0
enfarado,enchouriçar,1.0
enfarado,enfadar,1.0
enfarado,enfarar,1.0
enfarado,enfastiar,1.0
enfarado,enfestar,1.0
enfarado,enfezar,1.0
enfarado,enjoar,1.0
enfarado,enojar,1.0
enfarado,entediar,1.0
enfarado,entojar,1.0
enfarado,estafar,1.0
enfarado,estopar,1.0
enfarado,estroçar,1.0
enfarado,fadigar,1.0
enfarado,fartar,1.0
enfarado,fatigar,1.0
enfarado,flagelar,1.0
enfarado,maçar,1.0
enfarado,madornar,1.0
enfarado,mantear,1.0
enfarado,massacrar,1.0
enfarado,modornar,1.0
enfarado,modorrar,1.0
enfarado,moer,1.0
enfarado,monotonizar,1.0
enfarado,narcotizar,1.0
enfarado,nausear,1.0
enfarado,desenfastiar,1.0
enfarado,desenfezar,1.0
enfarado,desenjoar,1.0
enfarado,desentediar,1.0
enfarado,desmodorrar,1.0
