source,target,value
enfarar,adormentar,1.0
enfarar,amolar,1.0
enfarar,anojar,1.0
enfarar,cacetear,1.0
enfarar,cansar,1.0
enfarar,causticar,1.0
enfarar,chatear,1.0
enfarar,destroçar,1.0
enfarar,enchoiriçar,1.0
enfarar,enchouriçar,1.0
enfarar,enfadar,1.0
enfarar,enfastiar,1.0
enfarar,enfestar,1.0
enfarar,enfezar,1.0
enfarar,enjoar,1.0
enfarar,enojar,1.0
enfarar,entediar,1.0
enfarar,entojar,1.0
enfarar,estafar,1.0
enfarar,estopar,1.0
enfarar,estroçar,1.0
enfarar,fadigar,1.0
enfarar,fartar,1.0
enfarar,fatigar,1.0
enfarar,flagelar,1.0
enfarar,maçar,1.0
enfarar,madornar,1.0
enfarar,mantear,1.0
enfarar,massacrar,1.0
enfarar,modornar,1.0
enfarar,modorrar,1.0
enfarar,moer,1.0
enfarar,monotonizar,1.0
enfarar,narcotizar,1.0
enfarar,nausear,1.0
enfarar,desenfastiar,1.0
enfarar,desenfezar,1.0
enfarar,desenjoar,1.0
enfarar,desentediar,1.0
enfarar,desmodorrar,1.0
