source,target,value
enfeitar,adornar,1.0
enfeitar,aformosar,1.0
enfeitar,aformosear,1.0
enfeitar,aformosentar,1.0
enfeitar,ajaezar,1.0
enfeitar,alfaiar,1.0
enfeitar,amoldurar,1.0
enfeitar,aparamentar,1.0
enfeitar,aparatar,1.0
enfeitar,aparelhar,1.0
enfeitar,arrear,1.0
enfeitar,assazoar,1.0
enfeitar,assazonar,1.0
enfeitar,ataviar,1.0
enfeitar,colorar,1.0
enfeitar,colorear,1.0
enfeitar,colorir,1.0
enfeitar,colorizar,1.0
enfeitar,decorar,1.0
enfeitar,embelezar,1.0
enfeitar,embrincar,1.0
enfeitar,emoldar,1.0
enfeitar,emoldurar,1.0
enfeitar,enflorar,1.0
enfeitar,enflorear,1.0
enfeitar,engalanar,1.0
enfeitar,exornar,1.0
enfeitar,florear,1.0
enfeitar,floretear,1.0
enfeitar,formosear,1.0
enfeitar,formosentar,1.0
enfeitar,galantear,1.0
enfeitar,honestar,1.0
enfeitar,jaezar,1.0
enfeitar,moldurar,1.0
enfeitar,ornamentar,1.0
enfeitar,ornar,1.0
enfeitar,paramentar,1.0
enfeitar,recamar,1.0
enfeitar,revestir,1.0
enfeitar,sazonar,1.0
enfeitar,sobredoirar,1.0
enfeitar,sobredourar,1.0
enfeitar,tecer,1.0
enfeitar,afeiar,1.0
enfeitar,desadornar,1.0
enfeitar,desafeitar,1.0
enfeitar,desalinhar,1.0
enfeitar,desaparelhar,1.0
enfeitar,desataviar,1.0
enfeitar,descompor,1.0
enfeitar,desfear,1.0
enfeitar,desguarnecer,1.0
enfeitar,desornar,1.0
enfeitar,destoucar,1.0
enfeitar,enfear,1.0
