source,target,value
engabelar,barrar,1.0
engabelar,bigodear,1.0
engabelar,burlar,1.0
engabelar,capear,1.0
engabelar,carambolar,1.0
engabelar,caronear,1.0
engabelar,cegar,1.0
engabelar,codilhar,1.0
engabelar,defraudar,1.0
engabelar,deludir,1.0
engabelar,despistar,1.0
engabelar,desvairar,1.0
engabelar,desvariar,1.0
engabelar,embaçar,1.0
engabelar,embaciar,1.0
engabelar,embaucar,1.0
engabelar,embromar,1.0
engabelar,embrulhar,1.0
engabelar,embuçalar,1.0
engabelar,emburricar,1.0
engabelar,embustear,1.0
engabelar,ençampar,1.0
engabelar,engambelar,1.0
engabelar,enganar,1.0
engabelar,engrambelar,1.0
engabelar,enrascar,1.0
engabelar,enrodilhar,1.0
engabelar,enrolar,1.0
engabelar,fraudar,1.0
engabelar,gambelar,1.0
engabelar,iludir,1.0
engabelar,impingir,1.0
engabelar,intrujar,1.0
engabelar,intrujir,1.0
engabelar,lograr,1.0
engabelar,ludibriar,1.0
engabelar,mamar,1.0
engabelar,mistificar,1.0
engabelar,pantomimar,1.0
engabelar,pantominar,1.0
engabelar,rodilhar,1.0
engabelar,tapear,1.0
engabelar,trautear,1.0
engabelar,tungar,1.0
engabelar,velhacar,1.0
engabelar,velhaquear,1.0
