source,target,value
engarrafar,encascar,1.0
engarrafar,encubar,1.0
engarrafar,enfrascar,1.0
engarrafar,envasilhar,1.0
engarrafar,abarreirar,1.0
engarrafar,abarrocar,1.0
engarrafar,apejar,1.0
engarrafar,atochar,1.0
engarrafar,atrancar,1.0
engarrafar,atranqueirar,1.0
engarrafar,atrapachar,1.0
engarrafar,atravancar,1.0
engarrafar,barrar,1.0
engarrafar,bloquear,1.0
engarrafar,congestionar,1.0
engarrafar,cortar,1.0
engarrafar,dificultar,1.0
engarrafar,embaraçar,1.0
engarrafar,embargar,1.0
engarrafar,empachar,1.0
engarrafar,empancar,1.0
engarrafar,entravar,1.0
engarrafar,entupir,1.0
engarrafar,estorvar,1.0
engarrafar,fechar,1.0
engarrafar,impedir,1.0
engarrafar,ingurgitar,1.0
engarrafar,obstar,1.0
engarrafar,obstruir,1.0
engarrafar,obturar,1.0
engarrafar,pejar,1.0
engarrafar,tapar,1.0
engarrafar,tolher,1.0
engarrafar,tomar,1.0
engarrafar,aplainar,1.0
engarrafar,aplanar,1.0
engarrafar,desalagar,1.0
engarrafar,desbloquear,1.0
engarrafar,descongestionar,1.0
engarrafar,desembaraçar,1.0
engarrafar,desempachar,1.0
engarrafar,desencalhar,1.0
engarrafar,desentaipar,1.0
engarrafar,desentravar,1.0
engarrafar,desentulhar,1.0
engarrafar,desentupir,1.0
engarrafar,desestorvar,1.0
engarrafar,desimpedir,1.0
engarrafar,desobstruir,1.0
engarrafar,despejar,1.0
engarrafar,laxar,1.0
engarrafar,livrar,1.0
engarrafar,safar,1.0
