source,target,value
engelhar,comprimir,1.0
engelhar,contrair,1.0
engelhar,emurchecer,1.0
engelhar,encolher,1.0
engelhar,murchar,1.0
engelhar,murchecer,1.0
engelhar,retrair,1.0
engelhar,dilatar,1.0
engelhar,disferir,1.0
engelhar,distender,1.0
engelhar,expandir,1.0
engelhar,arrepanhar,1.0
engelhar,avincar,1.0
engelhar,corrugar,1.0
engelhar,crispar,1.0
engelhar,dobrar,1.0
engelhar,embabadar,1.0
engelhar,encrespar,1.0
engelhar,enrugar,1.0
engelhar,franger,1.0
engelhar,frangir,1.0
engelhar,franzir,1.0
engelhar,plicar,1.0
engelhar,pregar,1.0
engelhar,preguear,1.0
engelhar,repanhar,1.0
engelhar,rugar,1.0
engelhar,desarrugar,1.0
engelhar,desencortiçar,1.0
engelhar,desencoscorar,1.0
engelhar,desenrugar,1.0
engelhar,desfranzir,1.0
engelhar,deslisar,1.0
engelhar,despregar,1.0
engelhar,desrugar,1.0
