source,target,value
enjaular,aprear,1.0
enjaular,aprisionar,1.0
enjaular,cativar,1.0
enjaular,dejungir,1.0
enjaular,desjungir,1.0
enjaular,disjungir,1.0
enjaular,emprisionar,1.0
enjaular,encadear,1.0
enjaular,encarcerar,1.0
enjaular,engaiolar,1.0
enjaular,ferrolhar,1.0
enjaular,prear,1.0
enjaular,prender,1.0
enjaular,subjugar,1.0
enjaular,trancafiar,1.0
enjaular,abjungir,1.0
enjaular,adjugar,1.0
enjaular,descativar,1.0
enjaular,libertar,1.0
enjaular,soltar,1.0
enjaular,ajaular,1.0
enjaular,aprear,1.0
enjaular,aprisionar,1.0
enjaular,carcerar,1.0
enjaular,cativar,1.0
enjaular,clausurar,1.0
enjaular,confinar,1.0
enjaular,deter,1.0
enjaular,emprisionar,1.0
enjaular,encadear,1.0
enjaular,encarcerar,1.0
enjaular,encelar,1.0
enjaular,encerrar,1.0
enjaular,enclaustrar,1.0
enjaular,enclausurar,1.0
enjaular,entaipar,1.0
enjaular,ferrolhar,1.0
enjaular,prear,1.0
enjaular,prender,1.0
enjaular,represar,1.0
enjaular,subjugar,1.0
enjaular,trancafiar,1.0
enjaular,trancar,1.0
enjaular,desencarcerar,1.0
enjaular,desencerrar,1.0
enjaular,desenclaustrar,1.0
enjaular,excarcerar,1.0
enjaular,libertar,1.0
