source,target,value
enjeitar,recusar,1.0
enjeitar,refusar,1.0
enjeitar,admitir,1.0
enjeitar,adotar,1.0
enjeitar,receber,1.0
enjeitar,reconhecer,1.0
enjeitar,tomar,1.0
enjeitar,declinar,1.0
enjeitar,desistir,1.0
enjeitar,escorraçar,1.0
enjeitar,recusar,1.0
enjeitar,refusar,1.0
enjeitar,rejeitar,1.0
enjeitar,desadorar,1.0
enjeitar,desaprovar,1.0
enjeitar,improbar,1.0
enjeitar,improvar,1.0
enjeitar,refutar,1.0
enjeitar,reprovar,1.0
enjeitar,autorizar,1.0
enjeitar,consagrar,1.0
enjeitar,placitar,1.0
enjeitar,ratificar,1.0
enjeitar,sancionar,1.0
enjeitar,subscrever,1.0
enjeitar,desprezar,1.0
enjeitar,preterir,1.0
enjeitar,pretermitir,1.0
enjeitar,rejeitar,1.0
enjeitar,repelir,1.0
enjeitar,repudiar,1.0
enjeitar,admitir,1.0
enjeitar,adotar,1.0
enjeitar,receber,1.0
enjeitar,reconhecer,1.0
enjeitar,tomar,1.0
