source,target,value
enraivado,acirrado,1.0
enraivado,agastado,1.0
enraivado,aquecido,1.0
enraivado,assanhado,1.0
enraivado,assomado,1.0
enraivado,azedado,1.0
enraivado,bramoso,1.0
enraivado,bravo,1.0
enraivado,colérico,1.0
enraivado,danado,1.0
enraivado,embravecido,1.0
enraivado,encanzinado,1.0
enraivado,encolerizado,1.0
enraivado,enfurecido,1.0
enraivado,enfuriado,1.0
enraivado,enraivecido,1.0
enraivado,enviperado,1.0
enraivado,escabreado,1.0
enraivado,espumante,1.0
enraivado,estramontado,1.0
enraivado,exacerbado,1.0
enraivado,exasperado,1.0
enraivado,furente,1.0
enraivado,furibundo,1.0
enraivado,furioso,1.0
enraivado,iracundo,1.0
enraivado,irado,1.0
enraivado,irritado,1.0
enraivado,rábido,1.0
enraivado,rabioso,1.0
enraivado,raivento,1.0
enraivado,raivoso,1.0
enraivado,sanhoso,1.0
enraivado,sanhudo,1.0
enraivado,zangado,1.0
