source,target,value
enredado,emaçarocado,1.0
enredado,emaranhado,1.0
enredado,embaraçado,1.0
enredado,enleado,1.0
enredado,desembaraçado,1.0
enredado,desembaralhado,1.0
enredado,desenvencilhado,1.0
enredado,desenvincilhado,1.0
enredado,desvencilhado,1.0
enredado,desvincilhado,1.0
enredado,complicado,1.0
enredado,difícil,1.0
enredado,dificultoso,1.0
enredado,embaraçado,1.0
enredado,enredoso,1.0
enredado,envencilhado,1.0
enredado,implexo,1.0
enredado,intricado,1.0
enredado,desintrincado,1.0
enredado,fácil,1.0
enredado,simples,1.0
enredado,Rebeubéu,1.0
