source,target,value
enrudecer,abrutar,1.0
enrudecer,ajavardar,1.0
enrudecer,animalizar,1.0
enrudecer,asselvajar,1.0
enrudecer,barbarizar,1.0
enrudecer,bestializar,1.0
enrudecer,bestificar,1.0
enrudecer,brutalizar,1.0
enrudecer,brutificar,1.0
enrudecer,descivilizar,1.0
enrudecer,embrutar,1.0
enrudecer,embrutecer,1.0
enrudecer,civilizar,1.0
enrudecer,desbarbarizar,1.0
enrudecer,desbrutalizar,1.0
enrudecer,desembrutecer,1.0
enrudecer,desmoitar,1.0
enrudecer,desmoutar,1.0
enrudecer,domesticar,1.0
enrudecer,humanar,1.0
enrudecer,humanizar,1.0
enrudecer,limar,1.0
enrudecer,policiar,1.0
enrudecer,urbanizar,1.0
enrudecer,Ah,1.0
