source,target,value
entaipar,ajaular,1.0
entaipar,aprear,1.0
entaipar,aprisionar,1.0
entaipar,carcerar,1.0
entaipar,cativar,1.0
entaipar,clausurar,1.0
entaipar,confinar,1.0
entaipar,deter,1.0
entaipar,emprisionar,1.0
entaipar,encadear,1.0
entaipar,encarcerar,1.0
entaipar,encelar,1.0
entaipar,encerrar,1.0
entaipar,enclaustrar,1.0
entaipar,enclausurar,1.0
entaipar,enjaular,1.0
entaipar,ferrolhar,1.0
entaipar,prear,1.0
entaipar,prender,1.0
entaipar,represar,1.0
entaipar,subjugar,1.0
entaipar,trancafiar,1.0
entaipar,trancar,1.0
entaipar,desencarcerar,1.0
entaipar,desencerrar,1.0
entaipar,desenclaustrar,1.0
entaipar,excarcerar,1.0
entaipar,libertar,1.0
