source,target,value
entravar,emperrar,1.0
entravar,encravar,1.0
entravar,endurar,1.0
entravar,endurecer,1.0
entravar,endurentar,1.0
entravar,destravar,1.0
entravar,abarreirar,1.0
entravar,abarrocar,1.0
entravar,apejar,1.0
entravar,atochar,1.0
entravar,atrancar,1.0
entravar,atranqueirar,1.0
entravar,atrapachar,1.0
entravar,atravancar,1.0
entravar,barrar,1.0
entravar,bloquear,1.0
entravar,congestionar,1.0
entravar,cortar,1.0
entravar,dificultar,1.0
entravar,embaraçar,1.0
entravar,embargar,1.0
entravar,empachar,1.0
entravar,empancar,1.0
entravar,engarrafar,1.0
entravar,entupir,1.0
entravar,estorvar,1.0
entravar,fechar,1.0
entravar,impedir,1.0
entravar,ingurgitar,1.0
entravar,obstar,1.0
entravar,obstruir,1.0
entravar,obturar,1.0
entravar,pejar,1.0
entravar,tapar,1.0
entravar,tolher,1.0
entravar,tomar,1.0
entravar,aplainar,1.0
entravar,aplanar,1.0
entravar,desalagar,1.0
entravar,desbloquear,1.0
entravar,descongestionar,1.0
entravar,desembaraçar,1.0
entravar,desempachar,1.0
entravar,desencalhar,1.0
entravar,desentaipar,1.0
entravar,desentulhar,1.0
entravar,desentupir,1.0
entravar,desestorvar,1.0
entravar,desimpedir,1.0
entravar,desobstruir,1.0
entravar,despejar,1.0
entravar,laxar,1.0
entravar,livrar,1.0
entravar,safar,1.0
entravar,delongar,1.0
entravar,demorar,1.0
entravar,lerdear,1.0
entravar,pausar,1.0
entravar,remorar,1.0
entravar,retardar,1.0
entravar,retrasar,1.0
entravar,adiantar,1.0
entravar,apressar,1.0
entravar,estugar,1.0
entravar,picar,1.0
entravar,precipitar,1.0
entravar,delongar,1.0
entravar,demorar,1.0
entravar,lerdear,1.0
entravar,pausar,1.0
entravar,remorar,1.0
entravar,retardar,1.0
entravar,retrasar,1.0
entravar,tardar,1.0
