source,target,value
entrevecer,encaranguejar,1.0
entrevecer,entrevar,1.0
entrevecer,assombrear,1.0
entrevecer,eclipsar,1.0
entrevecer,empecer,1.0
entrevecer,encobrir,1.0
entrevecer,enegrecer,1.0
entrevecer,enfuscar,1.0
entrevecer,enlutar,1.0
entrevecer,enoitecer,1.0
entrevecer,ensombrar,1.0
entrevecer,ensombrecer,1.0
entrevecer,entenebrecer,1.0
entrevecer,entrevar,1.0
entrevecer,enturbar,1.0
entrevecer,enturvar,1.0
entrevecer,escurecer,1.0
entrevecer,escurentar,1.0
entrevecer,obnubilar,1.0
entrevecer,obscurecer,1.0
entrevecer,obumbrar,1.0
entrevecer,ofuscar,1.0
entrevecer,sombrear,1.0
entrevecer,sombrejar,1.0
entrevecer,descobrir,1.0
entrevecer,desenfuscar,1.0
entrevecer,desenlutar,1.0
entrevecer,desensombrar,1.0
entrevecer,desobscurecer,1.0
entrevecer,desobumbrar,1.0
entrevecer,desofuscar,1.0
