source,target,value
enublar,carregar,1.0
enublar,cobrir,1.0
enublar,embrumar,1.0
enublar,encarrancar,1.0
enublar,encobrir,1.0
enublar,enevoar,1.0
enublar,enuviar,1.0
enublar,nevoar,1.0
enublar,nublar,1.0
enublar,sombrear,1.0
enublar,sombrejar,1.0
enublar,toldar,1.0
enublar,turbar,1.0
enublar,turvar,1.0
enublar,descobrir,1.0
enublar,desembrumar,1.0
enublar,desembruscar,1.0
enublar,desencobrir,1.0
enublar,desenevoar,1.0
enublar,desensombrar,1.0
enublar,desenturvar,1.0
enublar,desnevoar,1.0
enublar,desnublar,1.0
enublar,desnuviar-se,1.0
enublar,destoldar,1.0
enublar,limpar,1.0
