source,target,value
enxabido,delambido,1.0
enxabido,desenxavido,1.0
enxabido,deslambido,1.0
enxabido,desenxavido,1.0
enxabido,insípido,1.0
enxabido,engraçado,1.0
enxabido,espirituoso,1.0
enxabido,facecioso,1.0
enxabido,faceto,1.0
enxabido,gracioso,1.0
enxabido,jocoso,1.0
enxabido,choco,1.0
enxabido,desconsolado,1.0
enxabido,desenxavido,1.0
enxabido,dessaborido,1.0
enxabido,dessaboroso,1.0
enxabido,dissaborado,1.0
enxabido,dissaboroso,1.0
enxabido,insípido,1.0
enxabido,ambrosiado,1.0
enxabido,apetitoso,1.0
enxabido,bom,1.0
enxabido,delicioso,1.0
enxabido,gostoso,1.0
enxabido,papa-fina,1.0
enxabido,sabável,1.0
enxabido,saborido,1.0
enxabido,saboroso,1.0
enxabido,sápido,1.0
