source,target,value
esbanjar,comer,1.0
esbanjar,delapidar,1.0
esbanjar,derreter,1.0
esbanjar,desacumular,1.0
esbanjar,desbaratar,1.0
esbanjar,desfazer,1.0
esbanjar,desgovernar,1.0
esbanjar,desperdiçar,1.0
esbanjar,destroçar,1.0
esbanjar,devorar,1.0
esbanjar,dilapidar,1.0
esbanjar,dissipar,1.0
esbanjar,engolir,1.0
esbanjar,entornar,1.0
esbanjar,esfazer,1.0
esbanjar,esperdiçar,1.0
esbanjar,estragar,1.0
esbanjar,estroçar,1.0
esbanjar,estruir,1.0
esbanjar,extinguir,1.0
esbanjar,extravaganciar,1.0
esbanjar,fundir,1.0
esbanjar,gastar,1.0
esbanjar,malbaratar,1.0
esbanjar,malbaratear,1.0
esbanjar,malgastar,1.0
esbanjar,perder,1.0
esbanjar,prodigalizar,1.0
esbanjar,prodigar,1.0
esbanjar,queimar,1.0
esbanjar,acumular,1.0
esbanjar,aforrar,1.0
esbanjar,ajuntar,1.0
esbanjar,amealhar,1.0
esbanjar,amontoar,1.0
esbanjar,condutar,1.0
esbanjar,cumular,1.0
esbanjar,desaproveitar,1.0
esbanjar,economizar,1.0
esbanjar,embornalar,1.0
esbanjar,enceleirar,1.0
esbanjar,entesoirar,1.0
esbanjar,entesourar,1.0
esbanjar,forrar,1.0
esbanjar,picuar,1.0
esbanjar,poupar,1.0
