source,target,value
escandescer,abrasear,1.0
escandescer,adurir,1.0
escandescer,afoguear,1.0
escandescer,alabarar,1.0
escandescer,comburir,1.0
escandescer,combustar,1.0
escandescer,enfogar,1.0
escandescer,esfoguear,1.0
escandescer,foguear,1.0
escandescer,ignificar,1.0
escandescer,incandescer,1.0
escandescer,incender,1.0
escandescer,inflamar,1.0
escandescer,queimar,1.0
escandescer,aferar,1.0
escandescer,agastar,1.0
escandescer,aquecer,1.0
escandescer,arrebatar,1.0
escandescer,assanhar,1.0
escandescer,azedar,1.0
escandescer,derrancar,1.0
escandescer,desnervar,1.0
escandescer,embespinhar,1.0
escandescer,emborrascar,1.0
escandescer,embravear,1.0
escandescer,embravecer,1.0
escandescer,emperrar,1.0
escandescer,encolerizar,1.0
escandescer,endemoninhar,1.0
escandescer,enervar,1.0
escandescer,enfezar,1.0
escandescer,enfurecer,1.0
escandescer,enfuriar,1.0
escandescer,enraivar,1.0
escandescer,enraivecer,1.0
escandescer,enviperar,1.0
escandescer,escabritar,1.0
escandescer,espinhar,1.0
escandescer,esquentar,1.0
escandescer,estomagar,1.0
escandescer,exagitar,1.0
escandescer,exaltar,1.0
escandescer,exasperar,1.0
escandescer,excitar,1.0
escandescer,indignar,1.0
escandescer,irar,1.0
escandescer,irritar,1.0
escandescer,marfar,1.0
escandescer,picar,1.0
escandescer,calmar,1.0
escandescer,desagastar,1.0
escandescer,desassanhar,1.0
escandescer,desbravecer,1.0
escandescer,desembravecer,1.0
escandescer,desencalmar,1.0
escandescer,desencolerizar,1.0
escandescer,desendemoniar,1.0
escandescer,desenfezar,1.0
escandescer,desenfurecer,1.0
escandescer,desenraivecer,1.0
escandescer,tranqüilizar,1.0
escandescer,abrasear,1.0
escandescer,acarminar,1.0
escandescer,afoguear,1.0
escandescer,afrontar,1.0
escandescer,avermelhar,1.0
escandescer,carminar,1.0
escandescer,corar,1.0
escandescer,enrubescer,1.0
escandescer,envermelhecer,1.0
escandescer,erubescer,1.0
escandescer,esbrasear,1.0
escandescer,esfoguear,1.0
escandescer,foguear,1.0
escandescer,incender,1.0
escandescer,incendiar,1.0
escandescer,inflamar,1.0
escandescer,rosar,1.0
escandescer,rosear,1.0
escandescer,rubescer,1.0
escandescer,rubificar,1.0
escandescer,ruborescer,1.0
escandescer,ruborizar,1.0
escandescer,descorar,1.0
escandescer,desenrubescer,1.0
escandescer,desmaiar,1.0
escandescer,empalecer,1.0
escandescer,empalidecer,1.0
escandescer,enlividecer,1.0
escandescer,palejar,1.0
escandescer,acirrar,1.0
escandescer,açodar,1.0
escandescer,acordar,1.0
escandescer,acotovelar,1.0
escandescer,açular,1.0
escandescer,afalcoar,1.0
escandescer,aferroar,1.0
escandescer,afervorar,1.0
escandescer,afoguear,1.0
escandescer,aguilhar,1.0
escandescer,aguilhoar,1.0
escandescer,aliciar,1.0
escandescer,apicaçar,1.0
escandescer,atiçar,1.0
escandescer,beliscar,1.0
escandescer,concitar,1.0
escandescer,cotovelar,1.0
escandescer,desafiar,1.0
escandescer,despertar,1.0
escandescer,eletrizar,1.0
escandescer,esfoguear,1.0
escandescer,espicaçar,1.0
escandescer,esporar,1.0
escandescer,esporear,1.0
escandescer,estimular,1.0
escandescer,estugar,1.0
escandescer,excitar,1.0
escandescer,garrochar,1.0
escandescer,impelir,1.0
escandescer,incitar,1.0
escandescer,inflamar,1.0
escandescer,instigar,1.0
escandescer,mordicar,1.0
escandescer,mordiscar,1.0
escandescer,motivar,1.0
escandescer,picar,1.0
escandescer,provocar,1.0
escandescer,pruir,1.0
escandescer,prurir,1.0
escandescer,pungir,1.0
escandescer,puxar,1.0
escandescer,repruir,1.0
escandescer,reprurir,1.0
escandescer,soprar,1.0
escandescer,desmotivar,1.0
