source,target,value
escorregado,correr,1.0
escorregado,decorrer,1.0
escorregado,deslizar,1.0
escorregado,discorrer,1.0
escorregado,escoar-se,1.0
escorregado,escorregar,1.0
escorregado,passar-se,1.0
escorregado,perpassar,1.0
escorregado,revolver-se,1.0
escorregado,transcorrer,1.0
escorregado,transcursar,1.0
escorregado,voar,1.0
escorregado,deslizar,1.0
escorregado,escorregar,1.0
escorregado,patinar,1.0
escorregado,patinhar,1.0
escorregado,rabear,1.0
escorregado,vanguejar,1.0
escorregado,coincidir,1.0
escorregado,escorregar,1.0
escorregado,incidir,1.0
escorregado,incorrer,1.0
escorregado,pecar,1.0
escorregado,recair,1.0
escorregado,tropeçar,1.0
escorregado,escorregar,1.0
escorregado,falhar,1.0
escorregado,faltar,1.0
escorregado,pecar,1.0
escorregado,tropeçar,1.0
