source,target,value
escovada,admoestar,1.0
escovada,advertir,1.0
escovada,amoestar,1.0
escovada,arrazoar,1.0
escovada,bronquear,1.0
escovada,castigar,1.0
escovada,censurar,1.0
escovada,chiar,1.0
escovada,descascar,1.0
escovada,encoimar,1.0
escovada,ensaboar,1.0
escovada,escascar,1.0
escovada,escovar,1.0
escovada,estranhar,1.0
escovada,ferretoar,1.0
escovada,ferroar,1.0
escovada,increpar,1.0
escovada,ralhar,1.0
escovada,recriminar,1.0
escovada,repreender,1.0
escovada,trautear,1.0
escovada,aporrear,1.0
escovada,aporretar,1.0
escovada,bater,1.0
escovada,bumbar,1.0
escovada,coçar,1.0
escovada,delombar,1.0
escovada,derrear,1.0
escovada,derrengar,1.0
escovada,desancar,1.0
escovada,desasar,1.0
escovada,descadeirar,1.0
escovada,deslombar,1.0
escovada,desquadrilhar,1.0
escovada,encostar,1.0
escovada,esbordoar,1.0
escovada,escadeirar,1.0
escovada,escambichar,1.0
escovada,escovar,1.0
escovada,espancar,1.0
escovada,esquadrilhar,1.0
escovada,malhar,1.0
escovada,maltratar,1.0
escovada,marretar,1.0
escovada,rachar,1.0
escovada,sapecar,1.0
escovada,sovar,1.0
escovada,surrar,1.0
escovada,tarear,1.0
escovada,tosar,1.0
escovada,tundar,1.0
escovada,tungar,1.0
escovada,zabumbar,1.0
escovada,zupar,1.0
escovada,zurzir,1.0
