source,target,value
escutar,entender,1.0
escutar,entreouvir,1.0
escutar,ouvir,1.0
escutar,perceber,1.0
escutar,sentir,1.0
escutar,aceitar,1.0
escutar,aguardar,1.0
escutar,cumprir,1.0
escutar,dessaudar,1.0
escutar,guardar,1.0
escutar,manter,1.0
escutar,obedecer,1.0
escutar,observar,1.0
escutar,resguardar,1.0
escutar,respeitar,1.0
escutar,seguir,1.0
escutar,contravir,1.0
escutar,desacatar,1.0
escutar,desconjurar,1.0
escutar,descumprir,1.0
escutar,desobedecer,1.0
escutar,desrespeitar,1.0
escutar,infringir,1.0
escutar,ofender,1.0
escutar,postergar,1.0
escutar,profanar,1.0
escutar,quebrantar,1.0
escutar,quebrar,1.0
escutar,romper,1.0
escutar,transgredir,1.0
escutar,transpassar,1.0
escutar,traspassar,1.0
escutar,trespassar,1.0
escutar,violar,1.0
escutar,ouvir,1.0
