source,target,value
esgoelar,asfixiar,1.0
esgoelar,dependurar,1.0
esgoelar,enforcar,1.0
esgoelar,esganar,1.0
esgoelar,estrangular,1.0
esgoelar,pendurar,1.0
esgoelar,berrar,1.0
esgoelar,berregar,1.0
esgoelar,bradar,1.0
esgoelar,bradejar,1.0
esgoelar,bramir,1.0
esgoelar,bravejar,1.0
esgoelar,conclamar,1.0
esgoelar,deblaterar,1.0
esgoelar,esbravear,1.0
esgoelar,esbravecer,1.0
esgoelar,esbravejar,1.0
esgoelar,estrilar,1.0
esgoelar,estrondar,1.0
esgoelar,estrondear,1.0
esgoelar,exclamar,1.0
esgoelar,explodir,1.0
esgoelar,expluir,1.0
esgoelar,goelar,1.0
esgoelar,gritar,1.0
esgoelar,latir,1.0
esgoelar,mugir,1.0
esgoelar,uivar,1.0
esgoelar,ulular,1.0
esgoelar,vociferar,1.0
