source,target,value
esmaecer,amortificar,1.0
esmaecer,debotar,1.0
esmaecer,decolorar,1.0
esmaecer,desbotar,1.0
esmaecer,descolorar,1.0
esmaecer,descolorir,1.0
esmaecer,deslavar,1.0
esmaecer,deslustrar,1.0
esmaecer,desmaiar,1.0
esmaecer,emortecer,1.0
esmaecer,esmaiar,1.0
esmaecer,amortiçar-se,1.0
esmaecer,apagar-se,1.0
esmaecer,desvaecer-se,1.0
esmaecer,desvanecer-se,1.0
esmaecer,esmorecer,1.0
esmaecer,extinguir-se,1.0
esmaecer,alquebrar,1.0
esmaecer,aquebrantar,1.0
esmaecer,cansar,1.0
esmaecer,debilitar,1.0
esmaecer,deprimir,1.0
esmaecer,derrear,1.0
esmaecer,desfortalecer,1.0
esmaecer,desnervar,1.0
esmaecer,desvigorar,1.0
esmaecer,desvigorizar,1.0
esmaecer,desvitalizar,1.0
esmaecer,elanguescer,1.0
esmaecer,enervar,1.0
esmaecer,enfraquecer,1.0
esmaecer,enfraquentar,1.0
esmaecer,enlanguescer,1.0
esmaecer,entibiar,1.0
esmaecer,esgotar,1.0
esmaecer,extenuar,1.0
esmaecer,languescer,1.0
esmaecer,prostrar,1.0
esmaecer,quebrantar,1.0
esmaecer,sopitar,1.0
esmaecer,afortalezar,1.0
esmaecer,arrijar,1.0
esmaecer,avigorar,1.0
esmaecer,desenervar,1.0
esmaecer,desentibiar,1.0
esmaecer,endurar,1.0
esmaecer,endurecer,1.0
esmaecer,endurentar,1.0
esmaecer,enrijar,1.0
esmaecer,enrijecer,1.0
esmaecer,fortalecer,1.0
esmaecer,fortificar,1.0
esmaecer,oxigenar,1.0
esmaecer,retemperar,1.0
esmaecer,revigorar,1.0
esmaecer,revitalizar,1.0
esmaecer,roborar,1.0
esmaecer,roborizar,1.0
esmaecer,robustecer,1.0
esmaecer,substanciar,1.0
esmaecer,temperar,1.0
esmaecer,tonificar,1.0
esmaecer,vigorar,1.0
esmaecer,vigorizar,1.0
esmaecer,vitalizar,1.0
