source,target,value
esmagar,oprimir,1.0
esmagar,tiranizar,1.0
esmagar,adstringir,1.0
esmagar,apertar,1.0
esmagar,arrochar,1.0
esmagar,cochar,1.0
esmagar,comprimir,1.0
esmagar,estrangular,1.0
esmagar,inquerir,1.0
esmagar,oprimir,1.0
esmagar,premer,1.0
esmagar,afrouxar,1.0
esmagar,alargar,1.0
esmagar,bambar,1.0
esmagar,bambear,1.0
esmagar,desapertar,1.0
esmagar,desarrochar,1.0
esmagar,descerrar,1.0
esmagar,descomprimir,1.0
esmagar,desprender,1.0
esmagar,esbambear,1.0
esmagar,folgar,1.0
esmagar,folgazar,1.0
esmagar,relaxar,1.0
esmagar,releixar,1.0
esmagar,soltar,1.0
esmagar,suxar,1.0
esmagar,britar,1.0
esmagar,cominuir,1.0
esmagar,confranger,1.0
esmagar,despeçar,1.0
esmagar,esmigalhar,1.0
esmagar,espedaçar,1.0
esmagar,fragmentar,1.0
esmagar,machucar,1.0
esmagar,migalhar,1.0
esmagar,migar,1.0
esmagar,moer,1.0
esmagar,triturar,1.0
esmagar,achatar,1.0
esmagar,ajoujar,1.0
esmagar,amarfanhar,1.0
esmagar,amorfanhar,1.0
esmagar,aniquilar,1.0
esmagar,apezinhar,1.0
esmagar,arrasar,1.0
esmagar,avexar,1.0
esmagar,calcar,1.0
esmagar,carregar,1.0
esmagar,decepar,1.0
esmagar,desentonar,1.0
esmagar,encarregar,1.0
esmagar,encouchar,1.0
esmagar,espezinhar,1.0
esmagar,humildar,1.0
esmagar,humilhar,1.0
esmagar,murchar,1.0
esmagar,oprimir,1.0
esmagar,pisar,1.0
esmagar,prostrar,1.0
esmagar,sobrecarregar,1.0
esmagar,animar,1.0
esmagar,desajoujar,1.0
