source,target,value
espetaculoso,augusto,1.0
espetaculoso,brilhante,1.0
espetaculoso,deslumbrante,1.0
espetaculoso,deslumbroso,1.0
espetaculoso,espaventoso,1.0
espetaculoso,esplêndido,1.0
espetaculoso,estrepitoso,1.0
espetaculoso,estrondoso,1.0
espetaculoso,faraônico,1.0
espetaculoso,fastoso,1.0
espetaculoso,fastuoso,1.0
espetaculoso,faustoso,1.0
espetaculoso,faustuoso,1.0
espetaculoso,grandioso,1.0
espetaculoso,imponente,1.0
espetaculoso,luxuoso,1.0
espetaculoso,magnificente,1.0
espetaculoso,magnífico,1.0
espetaculoso,majestoso,1.0
espetaculoso,monumental,1.0
espetaculoso,opíparo,1.0
espetaculoso,opulento,1.0
espetaculoso,ostentoso,1.0
espetaculoso,pomposo,1.0
espetaculoso,principesco,1.0
espetaculoso,rico,1.0
espetaculoso,ruidoso,1.0
espetaculoso,soberbo,1.0
espetaculoso,sumptuoso,1.0
espetaculoso,suntuoso,1.0
espetaculoso,comezinho,1.0
espetaculoso,humilde,1.0
espetaculoso,humildoso,1.0
espetaculoso,modesto,1.0
espetaculoso,simples,1.0
