source,target,value
estacaria,amparar,1.0
estacaria,apoiar,1.0
estacaria,apontoar,1.0
estacaria,enfustar,1.0
estacaria,escorar,1.0
estacaria,especar,1.0
estacaria,estacar,1.0
estacaria,estaquear,1.0
estacaria,estear,1.0
estacaria,segurar,1.0
estacaria,suportar,1.0
estacaria,sustentar,1.0
estacaria,suster,1.0
estacaria,tomar,1.0
estacaria,empacar,1.0
estacaria,emperrar,1.0
estacaria,encalhar,1.0
estacaria,enfusar,1.0
estacaria,esbarrar,1.0
estacaria,estacar,1.0
estacaria,parar,1.0
estacaria,refugar,1.0
estacaria,estacar,1.0
estacaria,estacionar,1.0
estacaria,plantar-se,1.0
