source,target,value
estoicismo,aspereza,1.0
estoicismo,austeridade,1.0
estoicismo,desabrimento,1.0
estoicismo,desafabilidade,1.0
estoicismo,desamabilidade,1.0
estoicismo,dureza,1.0
estoicismo,indocilidade,1.0
estoicismo,recacho,1.0
estoicismo,rigidez,1.0
estoicismo,rigor,1.0
estoicismo,rispidez,1.0
estoicismo,rispideza,1.0
estoicismo,rudez,1.0
estoicismo,rudeza,1.0
estoicismo,afabilidade,1.0
estoicismo,amabilidade,1.0
estoicismo,blandícia,1.0
estoicismo,blandície,1.0
estoicismo,brandura,1.0
estoicismo,docilidade,1.0
estoicismo,doçura,1.0
estoicismo,dulçor,1.0
estoicismo,mansidão,1.0
estoicismo,meiguice,1.0
estoicismo,melifluidade,1.0
estoicismo,perfume,1.0
estoicismo,suavidade,1.0
