source,target,value
estomagado,aferar,1.0
estomagado,agastar,1.0
estomagado,aquecer,1.0
estomagado,arrebatar,1.0
estomagado,assanhar,1.0
estomagado,azedar,1.0
estomagado,derrancar,1.0
estomagado,desnervar,1.0
estomagado,embespinhar,1.0
estomagado,emborrascar,1.0
estomagado,embravear,1.0
estomagado,embravecer,1.0
estomagado,emperrar,1.0
estomagado,encolerizar,1.0
estomagado,endemoninhar,1.0
estomagado,enervar,1.0
estomagado,enfezar,1.0
estomagado,enfurecer,1.0
estomagado,enfuriar,1.0
estomagado,enraivar,1.0
estomagado,enraivecer,1.0
estomagado,enviperar,1.0
estomagado,escabritar,1.0
estomagado,escandescer,1.0
estomagado,espinhar,1.0
estomagado,esquentar,1.0
estomagado,estomagar,1.0
estomagado,exagitar,1.0
estomagado,exaltar,1.0
estomagado,exasperar,1.0
estomagado,excitar,1.0
estomagado,indignar,1.0
estomagado,irar,1.0
estomagado,irritar,1.0
estomagado,marfar,1.0
estomagado,picar,1.0
estomagado,calmar,1.0
estomagado,desagastar,1.0
estomagado,desassanhar,1.0
estomagado,desbravecer,1.0
estomagado,desembravecer,1.0
estomagado,desencalmar,1.0
estomagado,desencolerizar,1.0
estomagado,desendemoniar,1.0
estomagado,desenfezar,1.0
estomagado,desenfurecer,1.0
estomagado,desenraivecer,1.0
estomagado,tranqüilizar,1.0
estomagado,aleijar,1.0
estomagado,amelindrar,1.0
estomagado,amolestar,1.0
estomagado,apunhalar,1.0
estomagado,atristar,1.0
estomagado,chocar,1.0
estomagado,compungir,1.0
estomagado,contristar,1.0
estomagado,desagradar,1.0
estomagado,embruscar,1.0
estomagado,entristecer,1.0
estomagado,escandalizar,1.0
estomagado,estomagar,1.0
estomagado,ferir,1.0
estomagado,flechar,1.0
estomagado,frechar,1.0
estomagado,machucar,1.0
estomagado,magoar,1.0
estomagado,mazelar,1.0
estomagado,melancolizar,1.0
estomagado,melindrar,1.0
estomagado,molestar,1.0
estomagado,ofender,1.0
estomagado,susceptibilizar,1.0
estomagado,suscetibilizar,1.0
estomagado,alborotar,1.0
estomagado,alegrar,1.0
estomagado,alvoroçar,1.0
estomagado,alvorotar,1.0
estomagado,contentar,1.0
estomagado,desentristecer,1.0
estomagado,desmelindrar,1.0
estomagado,destristecer,1.0
estomagado,doirar,1.0
estomagado,dourar,1.0
estomagado,entusiamar,1.0
estomagado,exultar,1.0
estomagado,iluminar,1.0
estomagado,jubilar,1.0
estomagado,letificar,1.0
estomagado,recrear,1.0
estomagado,regozijar,1.0
estomagado,satisfazer,1.0
estomagado,triunfar,1.0
