source,target,value
estriçar,destrinchar,1.0
estriçar,trinchar,1.0
estriçar,descobrir,1.0
estriçar,desembaraçar,1.0
estriçar,desembrulhar,1.0
estriçar,desencobrir,1.0
estriçar,desenlaçar,1.0
estriçar,desenredar,1.0
estriçar,desenvencilhar,1.0
estriçar,deslaçar,1.0
estriçar,deslindar,1.0
estriçar,destrinçar,1.0
estriçar,destrinchar,1.0
estriçar,desvencilhar,1.0
estriçar,desvincilhar,1.0
estriçar,esclarecer,1.0
estriçar,resolver,1.0
estriçar,solucionar,1.0
estriçar,desembaraçar,1.0
estriçar,desembolar,1.0
estriçar,desenlear,1.0
estriçar,desenliçar,1.0
estriçar,desenredar,1.0
estriçar,desenriçar,1.0
estriçar,desriçar,1.0
estriçar,destrinçar,1.0
estriçar,destrinchar,1.0
estriçar,desengrenhar,1.0
estriçar,desgadelhar,1.0
estriçar,desgrenhar,1.0
estriçar,desguedelhar,1.0
estriçar,emaranhar,1.0
estriçar,embaraçar,1.0
estriçar,empaçocar,1.0
estriçar,enlear,1.0
estriçar,enredar,1.0
estriçar,enredear,1.0
estriçar,enriçar,1.0
estriçar,imbramar,1.0
estriçar,maçarocar,1.0
estriçar,maranhar,1.0
estriçar,desmiuçar,1.0
estriçar,desmiudar,1.0
estriçar,destrinçar,1.0
estriçar,destrinchar,1.0
estriçar,detalhar,1.0
estriçar,esmiuçar,1.0
estriçar,esmiudar,1.0
estriçar,especificar,1.0
estriçar,individuar,1.0
estriçar,minuciar,1.0
estriçar,minudenciar,1.0
estriçar,miudear,1.0
estriçar,particularizar,1.0
estriçar,pormenorizar,1.0
