source,target,value
estrondado,aturdir,1.0
estrondado,barulhar,1.0
estrondado,bramar,1.0
estrondado,estoirar,1.0
estrondado,estourar,1.0
estrondado,estrondar,1.0
estrondado,estrondear,1.0
estrondado,estrugir,1.0
estrondado,fragorar,1.0
estrondado,rebombar,1.0
estrondado,rebramar,1.0
estrondado,ressoar,1.0
estrondado,ressonar,1.0
estrondado,retroar,1.0
estrondado,retumbar,1.0
estrondado,ribombar,1.0
estrondado,rimbombar,1.0
estrondado,roncar,1.0
estrondado,tempestear,1.0
estrondado,tempestuar,1.0
estrondado,toar,1.0
estrondado,troar,1.0
estrondado,tronar,1.0
estrondado,trovejar,1.0
estrondado,trovoar,1.0
estrondado,berrar,1.0
estrondado,berregar,1.0
estrondado,bradar,1.0
estrondado,bradejar,1.0
estrondado,bramir,1.0
estrondado,bravejar,1.0
estrondado,conclamar,1.0
estrondado,deblaterar,1.0
estrondado,esbravear,1.0
estrondado,esbravecer,1.0
estrondado,esbravejar,1.0
estrondado,esgoelar,1.0
estrondado,estrilar,1.0
estrondado,estrondar,1.0
estrondado,estrondear,1.0
estrondado,exclamar,1.0
estrondado,explodir,1.0
estrondado,expluir,1.0
estrondado,goelar,1.0
estrondado,gritar,1.0
estrondado,latir,1.0
estrondado,mugir,1.0
estrondado,uivar,1.0
estrondado,ulular,1.0
estrondado,vociferar,1.0
estrondado,berrar,1.0
