source,target,value
estruturar,acondicionar,1.0
estruturar,ajeitar,1.0
estruturar,arranjar,1.0
estruturar,arrumar,1.0
estruturar,compor,1.0
estruturar,confeccionar,1.0
estruturar,corrigir,1.0
estruturar,dispor,1.0
estruturar,distribuir,1.0
estruturar,elaborar,1.0
estruturar,entroixar,1.0
estruturar,entrouxar,1.0
estruturar,ordenar,1.0
estruturar,anarquizar,1.0
estruturar,atumultar,1.0
estruturar,atumultuar,1.0
estruturar,desacomodar,1.0
estruturar,desaconchegar,1.0
estruturar,desajeitar,1.0
estruturar,desalinhar,1.0
estruturar,desamanhar,1.0
estruturar,desarar,1.0
estruturar,desarranjar,1.0
estruturar,desarrumar,1.0
estruturar,descompor,1.0
estruturar,desconcertar,1.0
estruturar,desconchegar,1.0
estruturar,descontrolar,1.0
estruturar,desmanchar,1.0
estruturar,desordenar,1.0
estruturar,desorganizar,1.0
estruturar,destemperar,1.0
estruturar,destruir,1.0
estruturar,perturbar,1.0
estruturar,tumultuar,1.0
