source,target,value
esvanecer,borrar,1.0
esvanecer,cegar,1.0
esvanecer,debotar,1.0
esvanecer,delir,1.0
esvanecer,desapagar,1.0
esvanecer,desbotar,1.0
esvanecer,esvaecer,1.0
esvanecer,expungir,1.0
esvanecer,obliterar,1.0
esvanecer,debotar,1.0
esvanecer,derreter,1.0
esvanecer,desbotar,1.0
esvanecer,desfazer,1.0
esvanecer,desvaecer,1.0
esvanecer,desvanear,1.0
esvanecer,dissipar,1.0
esvanecer,esfazer,1.0
esvanecer,esvaecer,1.0
esvanecer,avivar,1.0
esvanecer,azougar,1.0
esvanecer,espertar,1.0
esvanecer,desacordar,1.0
esvanecer,descair,1.0
esvanecer,desfalecer,1.0
esvanecer,desmaiar,1.0
esvanecer,esfalecer,1.0
esvanecer,esmorecer,1.0
esvanecer,esvaecer,1.0
esvanecer,falir,1.0
esvanecer,apavonar,1.0
esvanecer,assoberbar,1.0
esvanecer,desvaecer,1.0
esvanecer,desvanear,1.0
esvanecer,enfatuar,1.0
esvanecer,enfunar,1.0
esvanecer,ensoberbar,1.0
esvanecer,ensoberbecer,1.0
esvanecer,entufar,1.0
esvanecer,envaidar,1.0
esvanecer,envaidecer,1.0
esvanecer,envanecer,1.0
esvanecer,esvaecer,1.0
esvanecer,fofar,1.0
esvanecer,inchar,1.0
esvanecer,inflar,1.0
esvanecer,lisonjear,1.0
esvanecer,orgulhar,1.0
esvanecer,pavonear,1.0
esvanecer,ufanar,1.0
esvanecer,aviltar,1.0
esvanecer,degradar,1.0
esvanecer,deprimir,1.0
esvanecer,desbriar,1.0
esvanecer,desensoberbecer,1.0
esvanecer,desonestar,1.0
esvanecer,desonrar,1.0
esvanecer,envilecer,1.0
esvanecer,funestar,1.0
esvanecer,humlhar,1.0
esvanecer,pejorar,1.0
esvanecer,profanar,1.0
esvanecer,prostituir,1.0
esvanecer,rebaixar,1.0
esvanecer,vilificar,1.0
