source,target,value
exaurir,ensecar,1.0
exaurir,esgotar,1.0
exaurir,exaustar,1.0
exaurir,esterilecer,1.0
exaurir,esterilizar,1.0
exaurir,exaustar,1.0
exaurir,absumir,1.0
exaurir,consumir,1.0
exaurir,desfalcar,1.0
exaurir,dissipar,1.0
exaurir,esgotar,1.0
exaurir,exaustar,1.0
exaurir,gastar,1.0
exaurir,haurir,1.0
exaurir,maquiar,1.0
exaurir,roubar,1.0
exaurir,sumir,1.0
exaurir,tomar,1.0
exaurir,alquebrar,1.0
exaurir,aquebrantar,1.0
exaurir,cansar,1.0
exaurir,debilitar,1.0
exaurir,depauperar,1.0
exaurir,deprimir,1.0
exaurir,derrear,1.0
exaurir,derrotar,1.0
exaurir,dessangrar,1.0
exaurir,desvigorar,1.0
exaurir,desvigorizar,1.0
exaurir,emascular,1.0
exaurir,enfraquecer,1.0
exaurir,enfraquentar,1.0
exaurir,exaustar,1.0
exaurir,extenuar,1.0
exaurir,prostrar,1.0
exaurir,quebrantar,1.0
exaurir,envigorar,1.0
exaurir,esforçar,1.0
exaurir,potencializar,1.0
exaurir,reforçar,1.0
exaurir,revigorar,1.0
exaurir,vigorar,1.0
