source,target,value
faccionar,agitar,1.0
faccionar,alborotar,1.0
faccionar,alevantar,1.0
faccionar,alvoroçar,1.0
faccionar,alvorotar,1.0
faccionar,amotinar,1.0
faccionar,atumultar,1.0
faccionar,atumultuar,1.0
faccionar,conturbar,1.0
faccionar,convulsar,1.0
faccionar,convulsionar,1.0
faccionar,facionar,1.0
faccionar,indisciplinar,1.0
faccionar,insubordinar,1.0
faccionar,insurgir,1.0
faccionar,insurrecionar,1.0
faccionar,levantar,1.0
faccionar,motinar,1.0
faccionar,rebelar,1.0
faccionar,rebelionar,1.0
faccionar,revoltar,1.0
faccionar,revolucionar,1.0
faccionar,sublevar,1.0
faccionar,subverter,1.0
faccionar,disciplinar,1.0
