source,target,value
fadigar,afrontar,1.0
fadigar,alanhar,1.0
fadigar,aplastar,1.0
fadigar,cansar,1.0
fadigar,esbofar,1.0
fadigar,esfalfar,1.0
fadigar,estafar,1.0
fadigar,estrompar,1.0
fadigar,estropiar,1.0
fadigar,fatigar,1.0
fadigar,malaxar,1.0
fadigar,matar,1.0
fadigar,moer,1.0
fadigar,descansar,1.0
fadigar,desfolegar,1.0
fadigar,relaxar,1.0
fadigar,releixar,1.0
fadigar,repoisar,1.0
fadigar,repousar,1.0
fadigar,resfolegar,1.0
fadigar,resfolgar,1.0
fadigar,vacar,1.0
fadigar,adormentar,1.0
fadigar,amolar,1.0
fadigar,anojar,1.0
fadigar,cacetear,1.0
fadigar,cansar,1.0
fadigar,causticar,1.0
fadigar,chatear,1.0
fadigar,destroçar,1.0
fadigar,enchoiriçar,1.0
fadigar,enchouriçar,1.0
fadigar,enfadar,1.0
fadigar,enfarar,1.0
fadigar,enfastiar,1.0
fadigar,enfestar,1.0
fadigar,enfezar,1.0
fadigar,enjoar,1.0
fadigar,enojar,1.0
fadigar,entediar,1.0
fadigar,entojar,1.0
fadigar,estafar,1.0
fadigar,estopar,1.0
fadigar,estroçar,1.0
fadigar,fartar,1.0
fadigar,fatigar,1.0
fadigar,flagelar,1.0
fadigar,maçar,1.0
fadigar,madornar,1.0
fadigar,mantear,1.0
fadigar,massacrar,1.0
fadigar,modornar,1.0
fadigar,modorrar,1.0
fadigar,moer,1.0
fadigar,monotonizar,1.0
fadigar,narcotizar,1.0
fadigar,nausear,1.0
fadigar,desenfastiar,1.0
fadigar,desenfezar,1.0
fadigar,desenjoar,1.0
fadigar,desentediar,1.0
fadigar,desmodorrar,1.0
