source,target,value
fanar,aleijar,1.0
fanar,amputar,1.0
fanar,cortar,1.0
fanar,decepar,1.0
fanar,degolar,1.0
fanar,desmembrar,1.0
fanar,destroncar,1.0
fanar,detruncar,1.0
fanar,estaquear,1.0
fanar,estroncar,1.0
fanar,estropiar,1.0
fanar,jarretar,1.0
fanar,mancar,1.0
fanar,mutilar,1.0
fanar,rejeitar,1.0
fanar,tronchar,1.0
fanar,truncar,1.0
fanar,atristar,1.0
fanar,definhar,1.0
fanar,desflorescer,1.0
fanar,desflorir,1.0
fanar,desverdecer,1.0
fanar,emurchecer,1.0
fanar,enfenecer,1.0
fanar,entristecer,1.0
fanar,estiolar,1.0
fanar,fenecer,1.0
fanar,mirrar,1.0
fanar,murchar,1.0
fanar,murchecer,1.0
fanar,letificar,1.0
fanar,medrar,1.0
fanar,viçar,1.0
fanar,vicejar,1.0
