source,target,value
fedegoso,catingante,1.0
fedegoso,catingoso,1.0
fedegoso,catingudo,1.0
fedegoso,catinguento,1.0
fedegoso,caxinguento,1.0
fedegoso,enfedorentado,1.0
fedegoso,fedido,1.0
fedegoso,fedorento,1.0
fedegoso,fétido,1.0
fedegoso,ambreado,1.0
fedegoso,aromado,1.0
fedegoso,aromal,1.0
fedegoso,aromático,1.0
fedegoso,aromatizado,1.0
fedegoso,aromoso,1.0
fedegoso,balsâmico,1.0
fedegoso,cheirante,1.0
fedegoso,cheiroso,1.0
fedegoso,embalsamado,1.0
fedegoso,fragrante,1.0
fedegoso,moscado,1.0
fedegoso,odorante,1.0
fedegoso,odorífero,1.0
fedegoso,odorífico,1.0
fedegoso,odoro,1.0
fedegoso,odoroso,1.0
fedegoso,olente,1.0
fedegoso,olorado,1.0
fedegoso,olorante,1.0
fedegoso,oloroso,1.0
fedegoso,perfumado,1.0
fedegoso,perfumoso,1.0
