source,target,value
figurarias,antojar,1.0
figurarias,antolhar,1.0
figurarias,debuxar,1.0
figurarias,figurar,1.0
figurarias,imaginar,1.0
figurarias,mentalizar,1.0
figurarias,traçar,1.0
figurarias,designar,1.0
figurarias,emblemar,1.0
figurarias,figurar,1.0
figurarias,representar,1.0
figurarias,significar,1.0
figurarias,simbolizar,1.0
figurarias,traduzir,1.0
figurarias,figurar,1.0
figurarias,representar,1.0
figurarias,retratar,1.0
figurarias,imaginar,1.0
figurarias,mentalizar,1.0
figurarias,ver,1.0
figurarias,visualizar,1.0
