source,target,value
foguear,abrasear,1.0
foguear,adurir,1.0
foguear,alabarar,1.0
foguear,comburir,1.0
foguear,combustar,1.0
foguear,enfogar,1.0
foguear,escandescer,1.0
foguear,ignificar,1.0
foguear,incandescer,1.0
foguear,incender,1.0
foguear,inflamar,1.0
foguear,queimar,1.0
foguear,abrasear,1.0
foguear,acarminar,1.0
foguear,afrontar,1.0
foguear,avermelhar,1.0
foguear,carminar,1.0
foguear,corar,1.0
foguear,enrubescer,1.0
foguear,envermelhecer,1.0
foguear,erubescer,1.0
foguear,esbrasear,1.0
foguear,escandescer,1.0
foguear,incender,1.0
foguear,incendiar,1.0
foguear,inflamar,1.0
foguear,rosar,1.0
foguear,rosear,1.0
foguear,rubescer,1.0
foguear,rubificar,1.0
foguear,ruborescer,1.0
foguear,ruborizar,1.0
foguear,descorar,1.0
foguear,desenrubescer,1.0
foguear,desmaiar,1.0
foguear,empalecer,1.0
foguear,empalidecer,1.0
foguear,enlividecer,1.0
foguear,palejar,1.0
