source,target,value
forasteiro,advenidiço,1.0
forasteiro,adventício,1.0
forasteiro,alienígena,1.0
forasteiro,arribadiço,1.0
forasteiro,estrangeiro,1.0
forasteiro,peregrino,1.0
forasteiro,aborígine,1.0
forasteiro,autóctone,1.0
forasteiro,crioulo,1.0
forasteiro,indígena,1.0
forasteiro,nativo,1.0
forasteiro,estrangeiro,1.0
forasteiro,estranho,1.0
forasteiro,externo,1.0
forasteiro,forâneo,1.0
forasteiro,adventício,1.0
forasteiro,alienígena,1.0
forasteiro,estrangeiro,1.0
forasteiro,vindoiro,1.0
forasteiro,autóctone,1.0
forasteiro,indígena,1.0
forasteiro,nativo,1.0
forasteiro,primitivo,1.0
forasteiro,estranho,1.0
