source,target,value
fortuna,felicidade,1.0
fortuna,sorte,1.0
fortuna,desdita,1.0
fortuna,infortúnio,1.0
fortuna,revés,1.0
fortuna,destino,1.0
fortuna,estrela,1.0
fortuna,fadário,1.0
fortuna,fado,1.0
fortuna,sestro,1.0
fortuna,sina,1.0
fortuna,sorte,1.0
fortuna,bonança,1.0
fortuna,felicidade,1.0
fortuna,graça,1.0
fortuna,desdita,1.0
fortuna,desgraça,1.0
fortuna,desventura,1.0
fortuna,fatalidade,1.0
fortuna,infelicidade,1.0
fortuna,infortúnio,1.0
fortuna,revés,1.0
fortuna,tormento,1.0
fortuna,destino,1.0
fortuna,fado,1.0
fortuna,quinhão,1.0
fortuna,sorte,1.0
