source,target,value
frechar,assetear,1.0
frechar,flechar,1.0
frechar,sagitar,1.0
frechar,setear,1.0
frechar,aleijar,1.0
frechar,amelindrar,1.0
frechar,amolestar,1.0
frechar,apunhalar,1.0
frechar,atristar,1.0
frechar,chocar,1.0
frechar,compungir,1.0
frechar,contristar,1.0
frechar,desagradar,1.0
frechar,embruscar,1.0
frechar,entristecer,1.0
frechar,escandalizar,1.0
frechar,estomagar,1.0
frechar,ferir,1.0
frechar,flechar,1.0
frechar,machucar,1.0
frechar,magoar,1.0
frechar,mazelar,1.0
frechar,melancolizar,1.0
frechar,melindrar,1.0
frechar,molestar,1.0
frechar,ofender,1.0
frechar,susceptibilizar,1.0
frechar,suscetibilizar,1.0
frechar,alborotar,1.0
frechar,alegrar,1.0
frechar,alvoroçar,1.0
frechar,alvorotar,1.0
frechar,contentar,1.0
frechar,desentristecer,1.0
frechar,desmelindrar,1.0
frechar,destristecer,1.0
frechar,doirar,1.0
frechar,dourar,1.0
frechar,entusiamar,1.0
frechar,exultar,1.0
frechar,iluminar,1.0
frechar,jubilar,1.0
frechar,letificar,1.0
frechar,recrear,1.0
frechar,regozijar,1.0
frechar,satisfazer,1.0
frechar,triunfar,1.0
