source,target,value
frouxo,bambo,1.0
frouxo,froixo,1.0
frouxo,lasso,1.0
frouxo,laxo,1.0
frouxo,relasso,1.0
frouxo,relaxado,1.0
frouxo,esticado,1.0
frouxo,estirado,1.0
frouxo,puxado,1.0
frouxo,retesado,1.0
frouxo,tenso,1.0
frouxo,teso,1.0
frouxo,froixo,1.0
frouxo,cobarde,1.0
frouxo,covarde,1.0
frouxo,fracalhão,1.0
frouxo,fraco,1.0
frouxo,froixo,1.0
frouxo,ignavo,1.0
frouxo,medroso,1.0
frouxo,mofino,1.0
frouxo,poltrão,1.0
frouxo,afoito,1.0
frouxo,afouto,1.0
frouxo,aguerrido,1.0
frouxo,alentado,1.0
frouxo,alentoso,1.0
frouxo,alto,1.0
frouxo,animoso,1.0
frouxo,ardido,1.0
frouxo,arrogante,1.0
frouxo,arrojado,1.0
frouxo,audacioso,1.0
frouxo,audaz,1.0
frouxo,aventuroso,1.0
frouxo,bravo,1.0
frouxo,brioso,1.0
frouxo,corajoso,1.0
frouxo,corajudo,1.0
frouxo,denodado,1.0
frouxo,desassombrado,1.0
frouxo,desmedroso,1.0
frouxo,destemeroso,1.0
frouxo,destemido,1.0
frouxo,esforçado,1.0
frouxo,estrênuo,1.0
frouxo,foito,1.0
frouxo,forte,1.0
frouxo,guapo,1.0
frouxo,impávido,1.0
frouxo,impertérrito,1.0
frouxo,intemente,1.0
frouxo,intérrito,1.0
frouxo,intimorato,1.0
frouxo,intrépido,1.0
frouxo,longânime,1.0
frouxo,longânimo,1.0
frouxo,ousado,1.0
frouxo,resoluto,1.0
frouxo,temido,1.0
frouxo,teso,1.0
frouxo,valente,1.0
frouxo,valoroso,1.0
frouxo,varonil,1.0
frouxo,acabrunhado,1.0
frouxo,afracado,1.0
frouxo,alquebrado,1.0
frouxo,amachucado,1.0
frouxo,amarroado,1.0
frouxo,anemiado,1.0
frouxo,anêmico,1.0
frouxo,aniquilado,1.0
frouxo,atempado,1.0
frouxo,atenuado,1.0
frouxo,caído,1.0
frouxo,caiongo,1.0
frouxo,chocho,1.0
frouxo,combalido,1.0
frouxo,debilitado,1.0
frouxo,decrépito,1.0
frouxo,definhado,1.0
frouxo,depauperado,1.0
frouxo,descaído,1.0
frouxo,descangotado,1.0
frouxo,dessangrado,1.0
frouxo,desvitalizado,1.0
frouxo,elanguescido,1.0
frouxo,enerve,1.0
frouxo,enfracado,1.0
frouxo,enfraquecido,1.0
frouxo,enfraquentado,1.0
frouxo,enlanguescido,1.0
frouxo,extenuado,1.0
frouxo,froixo,1.0
frouxo,langoroso,1.0
frouxo,lânguido,1.0
frouxo,prostrado,1.0
frouxo,vigoroso,1.0
