source,target,value
furibundo,acirrado,1.0
furibundo,agastado,1.0
furibundo,aquecido,1.0
furibundo,assanhado,1.0
furibundo,assomado,1.0
furibundo,azedado,1.0
furibundo,bramoso,1.0
furibundo,bravo,1.0
furibundo,colérico,1.0
furibundo,danado,1.0
furibundo,embravecido,1.0
furibundo,encanzinado,1.0
furibundo,encolerizado,1.0
furibundo,enfurecido,1.0
furibundo,enfuriado,1.0
furibundo,enraivado,1.0
furibundo,enraivecido,1.0
furibundo,enviperado,1.0
furibundo,escabreado,1.0
furibundo,espumante,1.0
furibundo,estramontado,1.0
furibundo,exacerbado,1.0
furibundo,exasperado,1.0
furibundo,furente,1.0
furibundo,furioso,1.0
furibundo,iracundo,1.0
furibundo,irado,1.0
furibundo,irritado,1.0
furibundo,rábido,1.0
furibundo,rabioso,1.0
furibundo,raivento,1.0
furibundo,raivoso,1.0
furibundo,sanhoso,1.0
furibundo,sanhudo,1.0
furibundo,zangado,1.0
