source,target,value
fátuo,insensato,1.0
fátuo,néscio,1.0
fátuo,afetado,1.0
fátuo,afofado,1.0
fátuo,alambicado,1.0
fátuo,amaneirado,1.0
fátuo,ancho,1.0
fátuo,apavonado,1.0
fátuo,arrebicado,1.0
fátuo,convencido,1.0
fátuo,enfatuado,1.0
fátuo,imodesto,1.0
fátuo,jactancioso,1.0
fátuo,jactante,1.0
fátuo,jatancioso,1.0
fátuo,jatante,1.0
fátuo,pimpão,1.0
fátuo,presumido,1.0
fátuo,presunçoso,1.0
fátuo,pretensioso,1.0
fátuo,regateiro,1.0
fátuo,vaidoso,1.0
fátuo,despresumido,1.0
fátuo,despresunçoso,1.0
fátuo,despretensioso,1.0
fátuo,natural,1.0
