source,target,value
fúlgido,brilhante,1.0
fúlgido,candente,1.0
fúlgido,cintilante,1.0
fúlgido,estrelante,1.0
fúlgido,flamante,1.0
fúlgido,flameante,1.0
fúlgido,flamejante,1.0
fúlgido,flâmeo,1.0
fúlgido,flamíneo,1.0
fúlgido,fulgente,1.0
fúlgido,fulgurante,1.0
fúlgido,fulguroso,1.0
fúlgido,lúcido,1.0
fúlgido,nitente,1.0
fúlgido,nítido,1.0
fúlgido,perfulgente,1.0
fúlgido,prefulgente,1.0
fúlgido,radiante,1.0
fúlgido,radioso,1.0
fúlgido,rebrilhante,1.0
fúlgido,rebrilhoso,1.0
fúlgido,refulgente,1.0
fúlgido,reluzente,1.0
fúlgido,resplandecente,1.0
fúlgido,resplandente,1.0
fúlgido,resplendente,1.0
fúlgido,resplendoroso,1.0
fúlgido,bacento,1.0
fúlgido,baciado,1.0
fúlgido,baço,1.0
fúlgido,embaçado,1.0
fúlgido,embaciado,1.0
fúlgido,empanado,1.0
fúlgido,fosco,1.0
fúlgido,mate,1.0
fúlgido,rofo,1.0
fúlgido,vidrado,1.0
fúlgido,vidrento,1.0
