source,target,value
galhofear,apodar,1.0
galhofear,bexigar,1.0
galhofear,bigodear,1.0
galhofear,brincar,1.0
galhofear,cachetar,1.0
galhofear,caçoar,1.0
galhofear,cafangar,1.0
galhofear,chacotear,1.0
galhofear,chalaçar,1.0
galhofear,chalacear,1.0
galhofear,chasquear,1.0
galhofear,chocarrear,1.0
galhofear,debicar,1.0
galhofear,debochar,1.0
galhofear,derriçar,1.0
galhofear,desfruir,1.0
galhofear,desfrutar,1.0
galhofear,embromar,1.0
galhofear,escarnecer,1.0
galhofear,escarnir,1.0
galhofear,facetear,1.0
galhofear,galhofar,1.0
galhofear,gingar,1.0
galhofear,gozar,1.0
galhofear,gracejar,1.0
galhofear,ironizar,1.0
galhofear,malhar,1.0
galhofear,mangar,1.0
galhofear,mexer,1.0
galhofear,mofar,1.0
galhofear,motejar,1.0
galhofear,pagodear,1.0
galhofear,palhetar,1.0
galhofear,palhetear,1.0
galhofear,pantear,1.0
galhofear,pilheriar,1.0
galhofear,ridicularizar,1.0
galhofear,ridiculizar,1.0
galhofear,rir,1.0
galhofear,satirizar,1.0
galhofear,sorrir,1.0
galhofear,sotaquear,1.0
galhofear,toirear,1.0
galhofear,tourear,1.0
galhofear,troçar,1.0
galhofear,trotar,1.0
galhofear,trotear,1.0
galhofear,vasconcear,1.0
galhofear,zingrar,1.0
galhofear,zombar,1.0
galhofear,zombetear,1.0
