source,target,value
galonar,elogiar,1.0
galonar,enaltar,1.0
galonar,enaltecer,1.0
galonar,encarecer,1.0
galonar,encomiar,1.0
galonar,gabar,1.0
galonar,louvar,1.0
galonar,assetear,1.0
galonar,caluniar,1.0
galonar,demolir,1.0
galonar,denegrecer,1.0
galonar,denegrir,1.0
galonar,desacreditar,1.0
galonar,desafamar,1.0
galonar,desagaloar,1.0
galonar,desclassificar,1.0
galonar,descreditar,1.0
galonar,desdoirar,1.0
galonar,desdourar,1.0
galonar,deslustrar,1.0
galonar,desmerecer,1.0
galonar,desmoralizar,1.0
galonar,desonestar,1.0
galonar,desonrar,1.0
galonar,detrair,1.0
galonar,detratar,1.0
galonar,difamar,1.0
galonar,enegrecer,1.0
galonar,enxovalhar,1.0
galonar,ignominiar,1.0
galonar,infamar,1.0
galonar,injuriar,1.0
galonar,manchar,1.0
galonar,mazelar,1.0
galonar,obscurecer,1.0
galonar,rebaixar,1.0
galonar,setear,1.0
galonar,sugilar,1.0
galonar,vituperar,1.0
galonar,aclarecer,1.0
galonar,agaloar,1.0
galonar,alumbrar,1.0
galonar,alumiar,1.0
galonar,clarear,1.0
galonar,desenegrecer,1.0
galonar,desentenebrecer,1.0
galonar,desescurecer,1.0
galonar,elogiar,1.0
galonar,enaltar,1.0
galonar,enaltecer,1.0
galonar,esclarecer,1.0
galonar,gabar,1.0
galonar,iluminar,1.0
galonar,assetar,1.0
galonar,assetear,1.0
galonar,caluniar,1.0
galonar,demolir,1.0
galonar,denegrecer,1.0
galonar,denegrir,1.0
galonar,desacreditar,1.0
galonar,desafamar,1.0
galonar,desagaloar,1.0
galonar,desclassificar,1.0
galonar,descreditar,1.0
galonar,desdoirar,1.0
galonar,desdourar,1.0
galonar,deslustrar,1.0
galonar,desmerecer,1.0
galonar,desmoralizar,1.0
galonar,desonestar,1.0
galonar,desonrar,1.0
galonar,detrair,1.0
galonar,detratar,1.0
galonar,difamar,1.0
galonar,enegrecer,1.0
galonar,esquartejar,1.0
galonar,improperar,1.0
galonar,infamar,1.0
galonar,injuriar,1.0
galonar,macular,1.0
galonar,marear,1.0
galonar,quartejar,1.0
galonar,rebaixar,1.0
galonar,setear,1.0
galonar,vituperar,1.0
