source,target,value
generoso,franco,1.0
generoso,largo,1.0
generoso,avarento,1.0
generoso,avaro,1.0
generoso,ávido,1.0
generoso,cainho,1.0
generoso,casca,1.0
generoso,cauíla,1.0
generoso,cauíra,1.0
generoso,escasseado,1.0
generoso,escasso,1.0
generoso,esganado,1.0
generoso,iliberal,1.0
generoso,manicurto,1.0
generoso,mesquinho,1.0
generoso,miserável,1.0
generoso,mísero,1.0
generoso,mofino,1.0
generoso,pão-duro,1.0
generoso,pelintra,1.0
generoso,socancra,1.0
generoso,somítico,1.0
generoso,sórdido,1.0
generoso,sorrelfa,1.0
generoso,sovina,1.0
generoso,tacanho,1.0
generoso,tenaz,1.0
generoso,vilão,1.0
generoso,grande,1.0
generoso,liberal,1.0
generoso,longânime,1.0
generoso,longânimo,1.0
generoso,magnânimo,1.0
generoso,magnificente,1.0
generoso,munificente,1.0
generoso,munífico,1.0
generoso,nobre,1.0
generoso,pródigo,1.0
generoso,abundoso,1.0
generoso,criador,1.0
generoso,ditoso,1.0
generoso,fecundo,1.0
generoso,feraz,1.0
generoso,fértil,1.0
generoso,opimo,1.0
generoso,produtivo,1.0
generoso,rico,1.0
generoso,úbere,1.0
generoso,avarento,1.0
generoso,avaro,1.0
generoso,baldio,1.0
generoso,estéril,1.0
generoso,improducente,1.0
generoso,improdutivo,1.0
generoso,improlífero,1.0
generoso,improlífico,1.0
generoso,infecundo,1.0
generoso,infértil,1.0
generoso,infrutífero,1.0
generoso,infrutuoso,1.0
generoso,maninho,1.0
generoso,sáfaro,1.0
