source,target,value
gozar,ter,1.0
gozar,desfrutar,1.0
gozar,fruir,1.0
gozar,lograr,1.0
gozar,lucrar,1.0
gozar,usufruir,1.0
gozar,usufrutar,1.0
gozar,desfrutar,1.0
gozar,fruir,1.0
gozar,libar,1.0
gozar,possuir,1.0
gozar,sopetear,1.0
gozar,ter,1.0
gozar,usufruir,1.0
gozar,usufrutar,1.0
gozar,falecer,1.0
gozar,necessitar,1.0
gozar,precisar,1.0
gozar,apodar,1.0
gozar,bexigar,1.0
gozar,bigodear,1.0
gozar,brincar,1.0
gozar,cachetar,1.0
gozar,caçoar,1.0
gozar,cafangar,1.0
gozar,chacotear,1.0
gozar,chalaçar,1.0
gozar,chalacear,1.0
gozar,chasquear,1.0
gozar,chocarrear,1.0
gozar,debicar,1.0
gozar,debochar,1.0
gozar,derriçar,1.0
gozar,desfruir,1.0
gozar,desfrutar,1.0
gozar,embromar,1.0
gozar,escarnecer,1.0
gozar,escarnir,1.0
gozar,facetear,1.0
gozar,galhofar,1.0
gozar,galhofear,1.0
gozar,gingar,1.0
gozar,gracejar,1.0
gozar,ironizar,1.0
gozar,malhar,1.0
gozar,mangar,1.0
gozar,mexer,1.0
gozar,mofar,1.0
gozar,motejar,1.0
gozar,pagodear,1.0
gozar,palhetar,1.0
gozar,palhetear,1.0
gozar,pantear,1.0
gozar,pilheriar,1.0
gozar,ridicularizar,1.0
gozar,ridiculizar,1.0
gozar,rir,1.0
gozar,satirizar,1.0
gozar,sorrir,1.0
gozar,sotaquear,1.0
gozar,toirear,1.0
gozar,tourear,1.0
gozar,troçar,1.0
gozar,trotar,1.0
gozar,trotear,1.0
gozar,vasconcear,1.0
gozar,zingrar,1.0
gozar,zombar,1.0
gozar,zombetear,1.0
