source,target,value
gritar,clamar,1.0
gritar,troar,1.0
gritar,trovejar,1.0
gritar,trovoar,1.0
gritar,vozear,1.0
gritar,vozeirar,1.0
gritar,berrar,1.0
gritar,berregar,1.0
gritar,bradar,1.0
gritar,bradejar,1.0
gritar,bramir,1.0
gritar,bravejar,1.0
gritar,conclamar,1.0
gritar,deblaterar,1.0
gritar,esbravear,1.0
gritar,esbravecer,1.0
gritar,esbravejar,1.0
gritar,esgoelar,1.0
gritar,estrilar,1.0
gritar,estrondar,1.0
gritar,estrondear,1.0
gritar,exclamar,1.0
gritar,explodir,1.0
gritar,expluir,1.0
gritar,goelar,1.0
gritar,latir,1.0
gritar,mugir,1.0
gritar,uivar,1.0
gritar,ulular,1.0
gritar,vociferar,1.0
gritar,cobrar,1.0
gritar,declamar,1.0
gritar,exigir,1.0
gritar,pedir,1.0
gritar,pretender,1.0
gritar,protestar,1.0
gritar,reclamar,1.0
gritar,reivindicar,1.0
gritar,requerer,1.0
gritar,requisitar,1.0
gritar,vindicar,1.0
