source,target,value
grossura,encorpadura,1.0
grossura,espessura,1.0
grossura,chulice,1.0
grossura,grossaria,1.0
grossura,grosseria,1.0
grossura,agrestice,1.0
grossura,agrestidade,1.0
grossura,bagualada,1.0
grossura,boçalidade,1.0
grossura,bronquice,1.0
grossura,brutalidade,1.0
grossura,chavasquice,1.0
grossura,estupidez,1.0
grossura,grossaria,1.0
grossura,grosseria,1.0
grossura,impolidez,1.0
grossura,incivilidade,1.0
grossura,rudez,1.0
grossura,rudeza,1.0
grossura,rusticaria,1.0
grossura,rusticidade,1.0
grossura,civilidade,1.0
grossura,cortesia,1.0
grossura,educação,1.0
grossura,polidez,1.0
grossura,política,1.0
grossura,trato,1.0
grossura,urbanidade,1.0
