source,target,value
homiziar,acafelar,1.0
homiziar,acobertar,1.0
homiziar,amofumbar,1.0
homiziar,assolapar,1.0
homiziar,cachar,1.0
homiziar,calar,1.0
homiziar,capear,1.0
homiziar,cobrir,1.0
homiziar,colorar,1.0
homiziar,colorear,1.0
homiziar,colorir,1.0
homiziar,colorizar,1.0
homiziar,contrafazer,1.0
homiziar,disfarçar,1.0
homiziar,dissimular,1.0
homiziar,encangotar,1.0
homiziar,encapotar,1.0
homiziar,encobertar,1.0
homiziar,encobrir,1.0
homiziar,envolver,1.0
homiziar,esconder,1.0
homiziar,mentir,1.0
homiziar,ocultar,1.0
homiziar,omitir,1.0
homiziar,reprimir,1.0
homiziar,silenciar,1.0
homiziar,sobnegar,1.0
homiziar,solapar,1.0
homiziar,sonegar,1.0
homiziar,sufocar,1.0
homiziar,velar,1.0
homiziar,indispor,1.0
homiziar,inimistar,1.0
homiziar,inimizar,1.0
homiziar,intrigar,1.0
homiziar,malquistar,1.0
homiziar,odiar,1.0
