source,target,value
ignominiar,assetear,1.0
ignominiar,caluniar,1.0
ignominiar,demolir,1.0
ignominiar,denegrecer,1.0
ignominiar,denegrir,1.0
ignominiar,desacreditar,1.0
ignominiar,desafamar,1.0
ignominiar,desagaloar,1.0
ignominiar,desclassificar,1.0
ignominiar,descreditar,1.0
ignominiar,desdoirar,1.0
ignominiar,desdourar,1.0
ignominiar,deslustrar,1.0
ignominiar,desmerecer,1.0
ignominiar,desmoralizar,1.0
ignominiar,desonestar,1.0
ignominiar,desonrar,1.0
ignominiar,detrair,1.0
ignominiar,detratar,1.0
ignominiar,difamar,1.0
ignominiar,enegrecer,1.0
ignominiar,enxovalhar,1.0
ignominiar,infamar,1.0
ignominiar,injuriar,1.0
ignominiar,manchar,1.0
ignominiar,mazelar,1.0
ignominiar,obscurecer,1.0
ignominiar,rebaixar,1.0
ignominiar,setear,1.0
ignominiar,sugilar,1.0
ignominiar,elogiar,1.0
ignominiar,enaltar,1.0
ignominiar,enaltecer,1.0
ignominiar,encarecer,1.0
ignominiar,encomiar,1.0
ignominiar,gabar,1.0
ignominiar,galonar,1.0
ignominiar,louvar,1.0
ignominiar,preconizar,1.0
