source,target,value
ignominioso,infamante,1.0
ignominioso,oprobrioso,1.0
ignominioso,ananicado,1.0
ignominioso,asqueroso,1.0
ignominioso,à-toa,1.0
ignominioso,baixo,1.0
ignominioso,biltre,1.0
ignominioso,calhorda,1.0
ignominioso,contemptível,1.0
ignominioso,desclassificado,1.0
ignominioso,desprezável,1.0
ignominioso,desprezível,1.0
ignominioso,fúfio,1.0
ignominioso,ignóbil,1.0
ignominioso,indigno,1.0
ignominioso,infame,1.0
ignominioso,miserável,1.0
ignominioso,mísero,1.0
ignominioso,ordinário,1.0
ignominioso,pífio,1.0
ignominioso,pulha,1.0
ignominioso,refece,1.0
ignominioso,reles,1.0
ignominioso,soez,1.0
ignominioso,somenos,1.0
ignominioso,sórdido,1.0
ignominioso,torpe,1.0
ignominioso,vil,1.0
ignominioso,vilão,1.0
