source,target,value
igualizar,homogeneizar,1.0
igualizar,homogenizar,1.0
igualizar,igualar,1.0
igualizar,padronizar,1.0
igualizar,uniformar,1.0
igualizar,uniformizar,1.0
igualizar,empatar,1.0
igualizar,igualar,1.0
igualizar,rivalizar,1.0
igualizar,seguir,1.0
igualizar,emparelhar,1.0
igualizar,germanar,1.0
igualizar,igualar,1.0
igualizar,irmanar,1.0
igualizar,abarbar,1.0
igualizar,achanar,1.0
igualizar,achatar,1.0
igualizar,afagar,1.0
igualizar,alhanar,1.0
igualizar,alisar,1.0
igualizar,alivelar,1.0
igualizar,anivelar,1.0
igualizar,aplainar,1.0
igualizar,aplanar,1.0
igualizar,assentar,1.0
igualizar,complanar,1.0
igualizar,deprimir,1.0
igualizar,deslisar,1.0
igualizar,igualar,1.0
igualizar,lavrar,1.0
igualizar,nivelar,1.0
igualizar,rasar,1.0
igualizar,rasoirar,1.0
igualizar,rasourar,1.0
igualizar,desnivelar,1.0
