source,target,value
incensar,perfumar,1.0
incensar,turibular,1.0
incensar,turiferar,1.0
incensar,adular,1.0
incensar,afagar,1.0
incensar,alisar,1.0
incensar,apajear,1.0
incensar,apaparicar,1.0
incensar,babujar,1.0
incensar,bajoujar,1.0
incensar,bajular,1.0
incensar,candongar,1.0
incensar,cariciar,1.0
incensar,chaleirar,1.0
incensar,cortejar,1.0
incensar,deslisar,1.0
incensar,engraxar,1.0
incensar,engrossar,1.0
incensar,lamber,1.0
incensar,lisonjear,1.0
incensar,louvaminhar,1.0
incensar,pajear,1.0
incensar,sorrabar,1.0
incensar,titilar,1.0
incensar,turibular,1.0
incensar,turiferar,1.0
incensar,xeretar,1.0
incensar,desdenhar,1.0
incensar,desfazer,1.0
incensar,desprezar,1.0
incensar,escarnecer,1.0
incensar,esfazer,1.0
incensar,humilhar,1.0
incensar,menospreçar,1.0
incensar,menosprezar,1.0
incensar,minguar,1.0
incensar,postergar,1.0
incensar,sobpor,1.0
incensar,tripudiar,1.0
incensar,zingrar,1.0
