source,target,value
indecência,imoralidade,1.0
indecência,indecorosidade,1.0
indecência,obscenidade,1.0
indecência,moralidade,1.0
indecência,destemor,1.0
indecência,impudência,1.0
indecência,impudor,1.0
indecência,pejo,1.0
indecência,pudor,1.0
indecência,rubidez,1.0
indecência,rubor,1.0
indecência,verecúndia,1.0
indecência,vergonha,1.0
indecência,assanho,1.0
indecência,atiramento,1.0
indecência,decoro,1.0
indecência,modéstia,1.0
indecência,recado,1.0
indecência,recato,1.0
indecência,recolhimento,1.0
indecência,resguardo,1.0
