source,target,value
infrutífero,fruteiro,1.0
infrutífero,frutífero,1.0
infrutífero,frutificativo,1.0
infrutífero,frutígero,1.0
infrutífero,improfícuo,1.0
infrutífero,infrutuoso,1.0
infrutífero,inútil,1.0
infrutífero,frutuário,1.0
infrutífero,frutuoso,1.0
infrutífero,prestadio,1.0
infrutífero,produtivo,1.0
infrutífero,proficiente,1.0
infrutífero,profícuo,1.0
infrutífero,proveitoso,1.0
infrutífero,útil,1.0
infrutífero,vantajoso,1.0
infrutífero,avarento,1.0
infrutífero,avaro,1.0
infrutífero,baldio,1.0
infrutífero,estéril,1.0
infrutífero,improducente,1.0
infrutífero,improdutivo,1.0
infrutífero,improlífero,1.0
infrutífero,improlífico,1.0
infrutífero,infecundo,1.0
infrutífero,infértil,1.0
infrutífero,infrutuoso,1.0
infrutífero,maninho,1.0
infrutífero,abundoso,1.0
infrutífero,criador,1.0
infrutífero,ditoso,1.0
infrutífero,fecundo,1.0
infrutífero,feraz,1.0
infrutífero,fértil,1.0
infrutífero,generoso,1.0
infrutífero,opimo,1.0
infrutífero,produtivo,1.0
infrutífero,rico,1.0
infrutífero,úbere,1.0
infrutífero,ubertoso,1.0
