source,target,value
inimigo,adversor,1.0
inimigo,antagonista,1.0
inimigo,competidor,1.0
inimigo,concorrente,1.0
inimigo,contendedor,1.0
inimigo,contendente,1.0
inimigo,contendor,1.0
inimigo,emulador,1.0
inimigo,êmulo,1.0
inimigo,justador,1.0
inimigo,rival,1.0
inimigo,antipático,1.0
inimigo,averso,1.0
inimigo,avessado,1.0
inimigo,contrário,1.0
inimigo,desafeiçoado,1.0
inimigo,desafeto,1.0
inimigo,desfavorável,1.0
inimigo,hostil,1.0
inimigo,infavorável,1.0
inimigo,infenso,1.0
inimigo,infesto,1.0
inimigo,oposto,1.0
inimigo,deletério,1.0
inimigo,infesto,1.0
inimigo,maligno,1.0
inimigo,nocente,1.0
inimigo,nocivo,1.0
inimigo,nóxio,1.0
inimigo,pernicioso,1.0
inimigo,prejudicial,1.0
inimigo,inocente,1.0
inimigo,inócuo,1.0
inimigo,inofensivo,1.0
inimigo,inóxio,1.0
