source,target,value
intensificar,ampliar,1.0
intensificar,aumentar,1.0
intensificar,desdobrar,1.0
intensificar,desenvolver,1.0
intensificar,enfestar,1.0
intensificar,redobrar,1.0
intensificar,amplificar,1.0
intensificar,dilatar,1.0
intensificar,estreitar,1.0
intensificar,minuir,1.0
intensificar,reduzir,1.0
intensificar,restringir,1.0
intensificar,aumentar,1.0
intensificar,exacerbar,1.0
intensificar,reagravar,1.0
intensificar,recrescer,1.0
intensificar,abemolar,1.0
intensificar,abrandar,1.0
intensificar,acalentar,1.0
intensificar,acalmar,1.0
intensificar,adoçar,1.0
intensificar,afroixar,1.0
intensificar,afrouxar,1.0
intensificar,aligeirar,1.0
intensificar,aliviar,1.0
intensificar,amaciar,1.0
intensificar,amainar,1.0
intensificar,amansar,1.0
intensificar,ameigar,1.0
intensificar,amenizar,1.0
intensificar,amolecer,1.0
intensificar,amortecer,1.0
intensificar,amortificar,1.0
intensificar,apagar,1.0
intensificar,aplacar,1.0
intensificar,aquebrantar,1.0
intensificar,arrefecer,1.0
intensificar,atenuar,1.0
intensificar,brandear,1.0
intensificar,calmar,1.0
intensificar,ceder,1.0
intensificar,comutar,1.0
intensificar,diluir,1.0
intensificar,diminuir,1.0
intensificar,edulcorar,1.0
intensificar,emortecer,1.0
intensificar,laxar,1.0
intensificar,lenificar,1.0
intensificar,lenir,1.0
intensificar,maciar,1.0
intensificar,malear,1.0
intensificar,minorar,1.0
intensificar,minuir,1.0
intensificar,mitigar,1.0
intensificar,moderar,1.0
intensificar,molificar,1.0
intensificar,placar,1.0
intensificar,quebrantar,1.0
intensificar,quebrar,1.0
intensificar,reduzir,1.0
intensificar,refecer,1.0
intensificar,refrigerar,1.0
intensificar,remitir,1.0
intensificar,retundir,1.0
intensificar,suavizar,1.0
intensificar,temperar,1.0
