source,target,value
intriga,enlace,1.0
intriga,enredo,1.0
intriga,entrecho,1.0
intriga,malhada,1.0
intriga,trama,1.0
intriga,confabulação,1.0
intriga,conspiração,1.0
intriga,conspirata,1.0
intriga,maquinação,1.0
intriga,tecedura,1.0
intriga,trama,1.0
intriga,trança,1.0
intriga,urdidura,1.0
intriga,conto,1.0
intriga,ditinho,1.0
intriga,dito,1.0
intriga,embuste,1.0
intriga,embusteirice,1.0
intriga,embustice,1.0
intriga,enredo,1.0
intriga,falsidade,1.0
intriga,invenção,1.0
intriga,invencionice,1.0
intriga,mentira,1.0
intriga,mexerico,1.0
intriga,rodízio,1.0
intriga,teia,1.0
intriga,traquinada,1.0
intriga,xodó,1.0
intriga,insídia,1.0
intriga,perfídia,1.0
intriga,traição,1.0
